index,token
516,영아
517,신사
518,뉴질랜드
519,나사렛대학교
520,장애인
521,열아홉번째
522,침착
523,성실
524,학교연혁
525,싫어하다
526,필기시험
527,병문안
528,낚시터
529,낚시대
530,당뇨병
531,독서
532,매표소
533,면역
534,감기
535,배드민턴
536,변비
537,불면증
538,불행
539,붕대
540,사위
541,설사
542,성병
543,방충
544,소화제
545,손녀
546,손자
547,수면제
548,수집가
549,여행지
550,예식장
551,올림픽경기
552,첫번째
553,운동경기
554,입원
555,재혼
556,진단서
557,축구장
558,치료
559,치료법
560,친아들
561,퇴원
562,한약
563,한약방
564,빈혈
565,화상
566,가래떡
567,고깃국
568,고추
569,고추가루
570,사골
571,배추국
572,꽈베기
573,벌꿀
574,꿀물
575,냄비
576,찬물
577,다과
578,지방경찰청장
579,된장찌게
580,돼지고기
581,두부
582,딸기
583,떡국
584,라면
585,막걸리
586,무
587,밥그릇
588,밥솥
589,보신탕
590,부엌
591,소불고기
592,비빔밥
593,사과
594,사이다
595,달다
596,소주
597,술잔
598,식당
599,쌀가루
600,냉커피
601,양식
602,위스키
603,술
604,용품
605,유리그릇
606,짬뽕
607,참외
608,칼국수
609,커피
610,콜라
611,콩가루
612,통조림
613,와인
614,백설기
615,가죽신
616,군복
617,포켓
618,양산
619,운동화
620,잠옷
621,이불
622,행거
623,월세
624,전세
625,치약
626,가수
627,체감
628,경고
629,경찰서
630,과장
631,관광버스
632,교수
633,교장
634,찻길
635,독일어
636,반환
637,동아리
638,디자이너
639,마을버스
640,구급차
641,개입하지않는다
642,사무
643,신입학
644,여객선
645,여행사
646,기차역
647,예술가
648,외국어
649,요리사
650,운동선수
651,퇴임
652,의사
653,이력서
654,자가용
655,재택근무
656,연령제한
657,주차장
658,채팅
659,출근
660,코치
661,터미널
662,근무
663,통역사
664,사직
665,판결
666,두번째
667,항공사
668,교통안전교육
669,화상채팅
670,회식
671,교통기본교육
672,후원
673,희생
674,간호사
675,교통법교육
676,계약금
677,고용
678,사업장
679,버스값
680,구직
681,논
682,대기업
683,사육장
684,압류
685,수입
686,신용카드
687,백수
688,아르바이트
689,주유소
690,집주인
691,한국은행
692,경찰청장
693,가정교육
694,고등학교
695,고등학생
696,교무실
697,개학
698,교실
699,교육자
700,국어학
701,낙제
702,예절
703,독서실
704,등교
705,맹학교
